Date,Open,High,Low,Close,Volume
2013-10-22,3119.35,3142.28,3119.35,3133.98,0.0
2013-10-21,3117.06,3121.69,3108.97,3116.09,0.0
2013-10-18,3101.87,3117.21,3100.12,3115.77,0.0
2013-10-17,3072.24,3095.92,3061.43,3095.42,0.0
2013-10-16,3036.94,3074.93,3036.94,3074.54,0.0
2013-10-15,3052.11,3056.36,3028.46,3032.27,0.0
2013-10-14,3035.47,3055.42,3021.93,3053.84,0.0
2013-10-11,3019.81,3041.86,3015.22,3041.43,0.0
2013-10-10,2965.86,3022.43,2965.86,3022.43,0.0
2013-10-09,2958.45,2968.24,2939.67,2957.4,0.0
2013-10-08,2992.48,2993.5,2955.11,2955.41,0.0
2013-10-07,3011.08,3011.08,2988.89,2991.39,0.0
2013-10-04,2996.15,3019.58,2993.56,3017.05,0.0
2013-10-03,3020.25,3020.25,2981.11,2995.81,0.0
2013-10-02,3019.44,3022.95,2998.86,3022.95,0.0
2013-10-01,3001.92,3027.15,3001.32,3024.38,0.0
2013-09-30,3010.37,3010.37,2988.48,3000.18,0.0
2013-09-27,3024.97,3024.97,3009.97,3018.24,0.0
2013-09-26,3022.18,3039.66,3020.61,3030.41,0.0
2013-09-25,3028.68,3035.26,3017.73,3019.31,0.0
2013-09-24,3036.75,3045.72,3023.27,3027.52,0.0
2013-09-23,3052.2,3052.2,3026.79,3035.09,0.0
2013-09-20,3071.81,3076.61,3047.81,3049.47,0.0
2013-09-19,3080.53,3085.02,3067.79,3071.61,0.0
2013-09-18,3041.53,3083.72,3031.97,3076.81,0.0
2013-09-17,3027.22,3041.11,3027.22,3039.75,0.0
2013-09-16,3016.42,3040.05,3016.42,3026.94,0.0
2013-09-13,3004.53,3011.11,2999.54,3009.79,0.0
2013-09-12,3011.93,3013.24,2999.05,3001.62,0.0
2013-09-11,2996.52,3010.94,2992.39,3010.94,0.0
2013-09-10,2984.13,3001.52,2984.13,3001.36,0.0
2013-09-09,2952.96,2980.62,2952.96,2979.45,0.0
2013-09-06,2953.85,2967.0,2923.88,2949.8,0.0
2013-09-05,2946.07,2956.54,2945.71,2949.27,0.0
2013-09-04,2923.6,2950.27,2917.71,2945.62,0.0
2013-09-03,2914.42,2941.86,2909.9,2921.23,0.0
2013-08-30,2919.5,2921.49,2900.23,2908.96,0.0
2013-08-29,2909.65,2932.59,2905.25,2917.96,0.0
2013-08-28,2903.45,2922.77,2898.57,2911.83,0.0
2013-08-27,2942.57,2942.57,2900.78,2903.29,0.0
2013-08-26,2963.5,2972.79,2948.77,2950.13,0.0
2013-08-23,2955.68,2964.46,2946.58,2962.06,0.0
2013-08-22,2928.72,2954.18,2928.72,2949.96,0.0
2013-08-21,2938.72,2949.99,2919.04,2924.73,0.0
2013-08-20,2931.72,2953.24,2930.44,2941.58,0.0
2013-08-19,2946.63,2953.52,2929.88,2930.27,0.0
2013-08-16,2957.06,2961.26,2941.95,2947.46,0.0
2013-08-15,2989.64,2989.64,2952.3,2957.08,0.0
2013-08-14,3014.53,3017.45,2998.43,2999.42,0.0
2013-08-13,3008.18,3019.05,2994.04,3014.43,0.0
2013-08-12,3003.45,3009.0,2994.75,3005.42,0.0
2013-08-09,3017.11,3022.94,2999.18,3008.79,0.0
